ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	755	-0.33551393715545236	-1.7691397068778887	1e-10	1.1760000000000001e-7	1.1094736842105266e-7	2031	tags=30%, list=17%, signal=27%	ZNF850/STAT1/ZNF761/NFXL1/ZNF333/ZNF559/ZNF281/ZFP14/ZNF688/ZBTB5/ZNF708/ZNF337/TGIF1/ZNF217/MLX/ZNF768/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/LHX4/ZNF133/ZNF134/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/ZNF829/MTF1/ZNF248/IRF3/ZNF582/ZNF510/ETV6/ZNF107/ZNF80/ZNF583/FOXO4/ZBTB7A/ZNF557/ZNF287/ZNF816/ZNF550/TBX19/ZNF286A/ZNF765/ZBTB45/HIVEP2/ZNF500/ZNF675/GTF2IRD2B/ZSCAN16/ZBTB34/ZBTB49/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF441/ZNF354A/ZNF546/ZNF681/E4F1/ZNF674/ZBTB47/ZBTB2/VDR/ZNF7/ZNF565/ZNF343/ZNF267/ZNF445/ETS2/ZNF398/ZC3H8/ZNF189/ZSCAN32/ZNF483/ZNF594/ZNF777/TCF4/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF443/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ESRRA/ZNF235/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ETV7/ZNF670/ZNF764/ZNF25/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZNF576/ZFP1/ZNF280B/HLF/ZNF354C/ZNF420/GTF2I/SMAD3/CC2D1B/ZNF77/ZBTB6/PRDM15/ZNF623/HOXB3/ZFP37/ZNF782/AEBP1/TSHZ2/NR2C2/TFEB/ZNF787/ZBTB41/ZNF486/ZNF852/ZSCAN29/ZBED6/NR2F6/POU2F2/SOX8/ZFP69/ZKSCAN3/ZNF709/ZNF181/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/ZNF223/TFCP2/ZNF284/ZNF12/IKZF3/ZNF234/HOMEZ/ZNF785/ZNF696/ZNF530/ZNF416/PCBP3/ZNF319/ZNF573/ZNF239/ZNF619/GLIS3/MAFG/PLSCR1/ZFP3/HOXB2/ZNF624/ZNF579/ZBTB3/ZNF526/ZNF175/ZNF155/BATF/SNAI3/E2F1/ZNF668/HINFP/ZNF230/STOX1/ZNF17/ZNF222/EOMES/ZNF555/ZNF853/ZNF322/IRF7/ZNF627/ZNF283/ZNF57/ZNF799/ZKSCAN4/ZFP69B/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0003700	DNA-binding transcription factor activity	792	-0.333148600185784	-1.7606936994432651	1e-10	1.1760000000000001e-7	1.1094736842105266e-7	2391	tags=33%, list=20%, signal=29%	ZNF654/ZNF329/ZNF566/GABPA/MAFK/ZNF66/ELK4/ZBTB48/ZNF678/ZNF169/ZFP30/ZNF383/ZFP90/ZNF439/ZNF581/IKZF1/ZNF562/ZNF438/ZNF671/ZNF324B/CREBL2/MAZ/ZNF652/ZNF468/NACC1/ENO1/RFX1/ZBTB4/ZNF850/STAT1/ZNF761/NFXL1/ZNF333/ZNF559/ZNF281/ZFP14/ZNF688/ZBTB5/ZNF708/ZNF337/TGIF1/ZNF217/MLX/ZNF768/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZNF700/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/LHX4/ZNF133/ZNF134/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/ZNF829/MTF1/ZNF248/IRF3/ZNF582/ZNF510/ETV6/ZNF107/ZNF80/ZNF583/FOXO4/ZBTB7A/ZNF557/ZNF287/ZNF816/ZNF550/TBX19/ZNF286A/ZNF765/ZBTB45/HIVEP2/ZNF500/ZNF675/GTF2IRD2B/ZSCAN16/ZBTB34/ZBTB49/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF441/ZNF354A/ZNF546/ZNF681/E4F1/ZNF674/ZBTB47/ZBTB2/VDR/ZNF7/ZNF565/ZNF343/ZNF267/ZNF445/ETS2/ZNF398/ZC3H8/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/ZNF777/TCF4/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF443/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ESRRA/ZNF235/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ETV7/ZNF670/ZNF764/IKZF2/ZNF25/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZNF576/ZFP1/ZNF280B/HLF/ZNF354C/ZNF420/GTF2I/SMAD3/CC2D1B/ZNF77/ZBTB6/PRDM15/ZNF623/HOXB3/ZFP37/ZNF782/AEBP1/TSHZ2/NR2C2/TFEB/ZNF787/ZBTB41/ZNF486/ZNF852/ZSCAN29/ZBED6/NR2F6/POU2F2/SOX8/ZFP69/ZKSCAN3/ZNF709/ZNF181/ZNF574/ZNF517/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/ZNF223/TFCP2/ZNF284/ZNF12/IKZF3/ZNF234/HOMEZ/ZNF865/ZNF785/ZNF696/ZNF530/ZNF691/ZNF416/PCBP3/ZNF319/ZNF573/ZNF239/ZNF619/GLIS3/MAFG/PLSCR1/ZFP3/HOXB2/ZNF624/ZNF579/ZNF704/ZBTB3/ZNF526/ZNF175/ZNF155/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/ZNF230/STOX1/ZNF17/ZNF222/EOMES/ZNF555/ZNF853/ZNF322/IRF7/ZNF627/ZNF283/ZNF57/ZNF799/ZKSCAN4/ZFP69B/FOXP3/GTF2IRD1/ZNF232/ZNF823/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	682	-0.3080176712066563	-1.6157101245680339	7.239447328382178e-10	5.675726705451628e-7	5.354650866045486e-7	2031	tags=28%, list=17%, signal=25%	ZNF850/STAT1/ZNF761/ZNF333/ZNF281/ZFP14/ZBTB5/ZNF708/TGIF1/ZNF217/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/ZNF134/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/ZBTB45/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZBTB34/ZBTB49/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB47/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/ZNF777/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ESRRA/ZNF235/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ZNF670/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZFP1/ZNF280B/HLF/APP/ZNF354C/ZNF420/SMAD3/CC2D1B/ZBTB6/MED12/PRDM15/ZNF623/HOXB3/ZNF782/NR2C2/TFEB/ZBTB41/ZNF486/TBP/ZNF852/ZSCAN29/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF181/ZNF574/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/ZNF223/TFCP2/ZNF284/ZNF12/IKZF3/ZNF234/ZNF865/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/HOXB2/SNAPC3/ZNF624/ZNF704/ZBTB3/ZNF526/ZNF175/ZNF155/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/ZNF230/ZNF17/ZNF222/EOMES/ZNF853/ZNF322/IRF7/ZNF283/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/MYPOP/ZNF449/ZNF2/MYB
MF	GO:0000987	cis-regulatory region sequence-specific DNA binding	695	-0.30366900848414397	-1.590031500258991	1.1219164427996057e-9	6.596868683661681e-7	6.223683845846235e-7	2031	tags=28%, list=17%, signal=25%	ZNF850/STAT1/ZNF761/ZNF333/ZNF281/ZFP14/ZBTB5/ZNF708/TGIF1/ZNF217/MTOR/MLX/ZNF568/ZNF100/ZNF37A/PPARA/ZBED1/ZNF254/ZBTB38/MEF2A/NFE2L1/ZNF74/ZNF174/ZNF33A/ZNF689/ZNF184/ZNF211/SREBF2/ZNF134/ZFP82/ZNF616/ZNF446/ZNF91/THAP11/ZBTB14/CC2D1A/BMI1/ZNF829/MTF1/IRF3/PRMT5/ETV6/ZNF107/ZNF583/FOXO4/ZBTB7A/ZNF287/ZNF816/TBX19/ZNF286A/ZNF765/ZBTB45/HIVEP2/ZNF500/ZNF675/ZSCAN16/ZBTB34/ZBTB49/ZNF837/CREB3/ZNF506/WIZ/ZNF85/ZNF354A/ZNF546/ZNF681/E4F1/ZBTB47/ZBTB2/VDR/ZNF7/ZNF565/ZNF267/ZNF445/ETS2/ZNF189/IKZF4/ZSCAN32/ZNF483/ZNF594/ZNF777/TCF4/SAFB/ZNF48/ZNF225/ZNF587/ZNF780A/ZNF93/ZNF256/ZNF646/ELK3/ZNF197/ZIK1/E2F3/ZKSCAN1/ZNF146/ESRRA/ZNF235/ZNF212/ZNF30/SP1/POU6F1/GFI1/ZNF354B/ZFP28/ZNF670/IKZF2/ZNF224/ZSCAN22/ZNF605/ZNF485/ZNF16/ZNF260/TFAP4/ZNF71/ZFP1/ZNF280B/HLF/APP/ZNF354C/ZNF420/SMAD3/CC2D1B/ZBTB6/MED12/PRDM15/ZNF623/HOXB3/ZNF782/NR2C2/TFEB/ZBTB41/ZNF486/TBP/ZNF852/ZSCAN29/NR2F6/POU2F2/SOX8/ZKSCAN3/ZNF181/ZNF574/STAT2/HOXB4/ZNF75D/ZNF786/ZNF606/ZNF397/ZNF253/ZNF223/TFCP2/ZNF284/ZNF12/IKZF3/ZNF234/ZNF865/ZNF530/ZNF691/ZNF416/ZNF319/ZNF573/ZNF239/GLIS3/MAFG/HOXB2/SNAPC3/ZNF624/ZNF704/ZBTB3/ZNF526/ZNF175/ZNF155/BATF/SNAI3/E2F1/ZNF835/ZNF668/HINFP/ZNF230/ZNF17/ZNF222/EOMES/ZNF853/ZNF322/IRF7/ZNF283/ZKSCAN4/FOXP3/GTF2IRD1/ZNF232/MYPOP/ZNF449/ZNF2/MYB
BP	GO:0051607	defense response to virus	222	-0.4062849872533752	-1.921165972141013	1.3899090272652937e-8	5.448443386879952e-6	5.140224963991649e-6	1642	tags=25%, list=14%, signal=22%	LYST/IRF3/NMB/TICAM1/SLFN11/APOBEC3H/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/TRIM34/RNASEL/IFI16/DDX60/TRIM25/MAVS/TRIM35/EXOSC4/STAT2/DHX58/RTP4/TRIM27/EIF2AK2/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/OAS1/IFIT1
BP	GO:0140546	defense response to symbiont	222	-0.4062849872533752	-1.921165972141013	1.3899090272652937e-8	5.448443386879952e-6	5.140224963991649e-6	1642	tags=25%, list=14%, signal=22%	LYST/IRF3/NMB/TICAM1/SLFN11/APOBEC3H/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/TRIM34/RNASEL/IFI16/DDX60/TRIM25/MAVS/TRIM35/EXOSC4/STAT2/DHX58/RTP4/TRIM27/EIF2AK2/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/OAS1/IFIT1
BP	GO:0009615	response to virus	292	-0.3606009047139335	-1.7569705840781036	1.685277706693023e-7	5.662533094488557e-5	5.3422036176073575e-5	1050	tags=21%, list=9%, signal=20%	APOBEC3H/LGALS8/EXOC1/ATAD3A/IFIH1/DTX3L/CD40/TRIM56/TRIM13/POLR3C/IFNAR2/GBP3/MX2/NMI/CCL4/TRIM34/SMAD3/RNASEL/STMN1/IFI16/DDX60/TRIM25/MAVS/POU2F2/TRIM35/EXOSC4/STAT2/IRAK3/ITGB8/DHX58/RTP4/TRIM27/EIF2AK2/SRC/POLR3K/HYAL2/IFIT3/IL6/USP27X/F2RL1/TRIM21/RIPK3/PLSCR1/HERC5/IFIT5/ZNF175/TRIM32/PARP9/FADD/IFI44L/IRF7/TRIM5/OAS2/MX1/FOXP3/AIM2/RSAD2/OAS3/ACTA2/OAS1/IFIT1
MF	GO:0038023	signaling receptor activity	356	0.39295982323821566	1.6743509821804199	9.824768513374487e-7	2.5675395048285326e-4	2.4222938042331487e-4	2119	tags=30%, list=18%, signal=26%	NR4A1/NR4A3/CHRNA1/NR4A2/CR1/PTGDR/PTGER2/CD69/KRT1/CD300A/KLRC1/REG4/CHRNE/ITGB2/OR4D1/TREM1/FCN1/CCR8/PTCH1/PTCH2/GP1BB/P2RX5/PLXNA4/HLA-DQA2/KLRK1/LTB4R/KLRC4/TLR1/CYSLTR2/IL17RC/CD8A/ADGRF3/P2RY11/CD8B/HLA-DOA/ADGRE5/PTGER4/ABCA7/MMD/PECAM1/KLRG1/GABBR1/RNF139/CLEC7A/CSF3R/ADGRG1/ADRB2/RXRA/P2RY14/CCR10/LILRB3/CD79B/AGTRAP/HPGD/LPAR2/VIPR1/RAMP1/P2RX7/CD14/KLRB1/NR3C2/SDC4/NOD2/IL1RAP/IL11RA/CTSH/FZD3/TMEM116/TNFRSF10D/CD93/P2RX4/SREBF1/TNFRSF10B/TNFRSF9/HRH2/LRP6/INTS6/TSPO/GPR150/NRP2/KLRC3/OPN3/GPR146/GPR135/FGFR1/HLA-DPA1/TMIGD2/GPR65/ANXA2R/ICAM1/CD4/PKD1/DCBLD2/ITGA4/C5AR1/SPN/PLAUR/TNFRSF10A/ADGRL1/FCER1G/JMJD6/LTBP4/PTPRK/CXCR4/NR1D1/INPP5K/PLXNB2/TNFRSF4
MF	GO:0060089	molecular transducer activity	356	0.39295982323821566	1.6743509821804199	9.824768513374487e-7	2.5675395048285326e-4	2.4222938042331487e-4	2119	tags=30%, list=18%, signal=26%	NR4A1/NR4A3/CHRNA1/NR4A2/CR1/PTGDR/PTGER2/CD69/KRT1/CD300A/KLRC1/REG4/CHRNE/ITGB2/OR4D1/TREM1/FCN1/CCR8/PTCH1/PTCH2/GP1BB/P2RX5/PLXNA4/HLA-DQA2/KLRK1/LTB4R/KLRC4/TLR1/CYSLTR2/IL17RC/CD8A/ADGRF3/P2RY11/CD8B/HLA-DOA/ADGRE5/PTGER4/ABCA7/MMD/PECAM1/KLRG1/GABBR1/RNF139/CLEC7A/CSF3R/ADGRG1/ADRB2/RXRA/P2RY14/CCR10/LILRB3/CD79B/AGTRAP/HPGD/LPAR2/VIPR1/RAMP1/P2RX7/CD14/KLRB1/NR3C2/SDC4/NOD2/IL1RAP/IL11RA/CTSH/FZD3/TMEM116/TNFRSF10D/CD93/P2RX4/SREBF1/TNFRSF10B/TNFRSF9/HRH2/LRP6/INTS6/TSPO/GPR150/NRP2/KLRC3/OPN3/GPR146/GPR135/FGFR1/HLA-DPA1/TMIGD2/GPR65/ANXA2R/ICAM1/CD4/PKD1/DCBLD2/ITGA4/C5AR1/SPN/PLAUR/TNFRSF10A/ADGRL1/FCER1G/JMJD6/LTBP4/PTPRK/CXCR4/NR1D1/INPP5K/PLXNB2/TNFRSF4
MF	GO:0004888	transmembrane signaling receptor activity	242	0.424193261864516	1.7527168803123663	3.652310968622274e-6	8.590235398199588e-4	8.104285812479742e-4	2538	tags=38%, list=21%, signal=31%	CHRNA1/CR1/PTGDR/PTGER2/CD69/CD300A/KLRC1/CHRNE/ITGB2/OR4D1/CCR8/PTCH1/PTCH2/GP1BB/P2RX5/PLXNA4/HLA-DQA2/KLRK1/LTB4R/KLRC4/TLR1/CYSLTR2/IL17RC/ADGRF3/P2RY11/HLA-DOA/ADGRE5/PTGER4/ABCA7/PECAM1/GABBR1/CSF3R/ADGRG1/ADRB2/P2RY14/CCR10/LILRB3/CD79B/AGTRAP/HPGD/LPAR2/VIPR1/RAMP1/P2RX7/CD14/KLRB1/IL1RAP/IL11RA/CTSH/FZD3/TMEM116/TNFRSF10D/P2RX4/TNFRSF10B/HRH2/LRP6/INTS6/GPR150/NRP2/KLRC3/OPN3/GPR146/GPR135/FGFR1/HLA-DPA1/GPR65/ICAM1/CD4/PKD1/C5AR1/SPN/TNFRSF10A/ADGRL1/FCER1G/LTBP4/PTPRK/CXCR4/INPP5K/PLXNB2/TNFRSF4/EPHA1/PTPRN2/ITGAL/OSCAR/TGFBR1/IL15RA/CCRL2/EDAR/IL21R/IL2RA/TMEM63A/TAS2R14
