ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0019221	cytokine-mediated signaling pathway	298	-0.6840197308087885	-1.9685806025634693	1e-10	7.786666666666666e-8	4.7333333333333334e-8	1279	tags=33%, list=12%, signal=30%	CXCR4/IL1B/RELA/PTPRJ/CBL/TICAM2/TNFRSF14/STAT3/IL15RA/JAK2/PIAS4/TNFRSF1A/PAFAH1B1/OAS1/LILRB4/PPARG/EXT1/GPR35/CASP4/WNK1/CSF2RB/SP100/STAT6/PTPN1/NLRC5/SMAD4/OASL/CIB1/NOTCH1/IL4R/SPHK1/PTPN6/IFNGR2/EIF5A/PPP2CB/CXCL1/TBK1/PARP9/RIPK2/IL6R/VRK2/IRF7/BIRC3/SOS1/P4HB/NFKBIZ/OAS3/FOXO3/CYLD/TRIM56/OXSR1/LYN/CXCL5/XIAP/CXCL3/IRAK2/SPPL2A/OAS2/SRC/TNF/STAT2/CASP1/PTPRC/MX1/ADAR/TRAF1/RBM47/CCR1/LIMS1/ADAM17/IL2RG/IL6/NFKBIA/PLP2/TNFRSF1B/CCRL2/JAK1/LAPTM5/IRF1/IRAK3/HIF1A/CCL20/IL1A/STAT1/CXCL2/IL1R1/CCL3L1/ACSL1/FCER1G/CCL3/PARP14/TNFAIP3/IL1RN/CXCL8/ISG15/CD44/CCL4/CCL2
CC	GO:0070161	anchoring junction	482	-0.6023539996964795	-1.7890543017786398	1e-10	7.786666666666666e-8	4.7333333333333334e-8	1211	tags=29%, list=11%, signal=27%	SRP68/CBL/ITGA2/ARHGAP26/BMPR2/SCARB2/CD9/JAK2/PIK3CA/NDRG1/PIKFYVE/TNS3/SMAD7/GAK/PDLIM5/MAP2K1/PIK3R1/RHOU/FLCN/WASF2/STX3/KCNJ2/ADA/NOTCH1/GNA13/TMEM65/LCP2/IRF2/MAPRE1/YWHAZ/CFL1/ADAM9/DNM2/TLN1/CYFIP1/LASP1/LPXN/PTPN6/IGF2R/TES/CYTH1/FLT1/VIM/MAPK1/CLIC4/FLII/YWHAE/ENG/PDIA3/UBA1/RAB21/ITGA5/RAP2C/ADAM10/VEGFA/SDC4/HNRNPK/LAP3/PPFIA1/GJB2/HSPA9/VASP/FLOT1/P4HB/PAK2/P2RX7/NIBAN2/RAC1/HYOU1/PPP1R12A/LYN/GNB2/RAB10/RTN4/DAB2/CTNNA1/ASH1L/WDR1/SRC/CLTC/PPP1CB/CD81/ERBIN/PTPRC/ITGB2/ARF1/MMP14/MYH9/CTNNB1/MAP4K4/RHOA/FERMT3/CAPN2/AHNAK/LIMS1/ADAM17/SLC3A2/ARPC2/PLEC/PTPN12/CALR/GRB2/RALA/ICAM1/MSN/HMGA1/HSP90B1/CAP1/ACTN1/ARPC5/RDX/LCP1/TMOD3/YWHAB/RAP1B/RAPGEF2/JAK1/NUMB/ITGB1/ATP6V0C/CD53/ITGB8/EIF4G2/ACTB/ACTR2/PFN1/MARCKS/ALCAM/B2M/ACTR3/HSPA5/IQGAP1/SDCBP/CYBA/ANXA2/TPM4/S100A11/ANXA5/FLNA/PLAUR/CD44
BP	GO:0034097	response to cytokine	590	-0.580207237591817	-1.7433585488642498	1e-10	7.786666666666666e-8	4.7333333333333334e-8	1282	tags=32%, list=12%, signal=29%	ATP5F1B/CXCR4/CDC42EP2/IL1B/NFKB2/RELA/PTPRJ/GSDME/XBP1/RAB20/SKIL/RAD23B/CBL/PML/TICAM2/TNFRSF14/STAT3/RIF1/CDK9/IL15RA/JAK2/PIAS4/TNFRSF1A/PAFAH1B1/HK2/OAS1/LILRB4/STX4/SMAD7/UPF1/GSK3A/PPARG/EXT1/CD274/GPR35/CASP4/WNK1/NDUFA13/CSF2RB/SP100/STAT6/MBP/PTPN1/NLRC5/SMAD4/OASL/CIB1/NOTCH1/SYNCRIP/ZC3H12A/IL4R/MSC/CASP3/ADAM9/SPHK1/LSP1/PTPN6/MAPKAPK2/IFIH1/MAP3K5/IFNGR2/VIM/MAPK1/SMARCA5/TCIRG1/CD58/RC3H1/PDIA3/EIF5A/PPP2CB/CXCL1/IFI16/ADAM10/MAP4K3/TBK1/BCLAF1/ZFP36L2/PARP9/RIPK2/RELB/CTBP2/IL6R/VRK2/EIF2AK2/PDCD10/KDM5B/SNX10/IRF7/BIRC3/SOS1/NFAT5/P4HB/KIF5B/NFKBIZ/OAS3/FOXO3/YY1/CD47/CYLD/TRIM56/SIRPA/OXSR1/LYN/KMO/CXCL5/XIAP/CXCL3/IRAK2/SOCS3/STXBP2/SPPL2A/MX2/OAS2/GCH1/SRC/GBP4/TNF/STAT2/CASP1/ERBIN/PTPRC/MX1/ADAR/ACOD1/MCL1/TRAF1/TRIM25/RBM47/CCR1/RHOA/CAPN2/LIMS1/ADAM17/IL2RG/XAF1/HNRNPU/PLSCR1/GBP5/IL6/DUSP1/NRP2/NFE2L2/CXCL16/CYP1B1/NFKBIA/TLR2/PLP2/TNFRSF1B/GBP1/CCRL2/JAK1/LAPTM5/IRF1/SLC11A1/IRAK3/ACTR2/HIF1A/CCL20/IL1A/TIMP1/STAT1/PTGS2/CXCL2/KYNU/IL1R1/ACTR3/CCL3L1/JARID2/HSPA5/ACSL1/FCER1G/CYBA/CEBPB/MT2A/CCL3/PARP14/TNFAIP3/IL1RN/CXCL8/ISG15/NFKB1/THBS1/GBP2/CD44/CCL4/CCL2
CC	GO:0005925	focal adhesion	278	-0.654288091831848	-1.8751355150393676	4.702146965258375e-10	2.7252467797949475e-7	1.6566140527863123e-7	866	tags=32%, list=8%, signal=31%	GNA13/IRF2/MAPRE1/YWHAZ/CFL1/ADAM9/DNM2/TLN1/CYFIP1/LASP1/LPXN/IGF2R/TES/FLT1/VIM/MAPK1/FLII/YWHAE/ENG/PDIA3/RAB21/ITGA5/ADAM10/SDC4/HNRNPK/LAP3/PPFIA1/HSPA9/VASP/FLOT1/P4HB/RAC1/HYOU1/PPP1R12A/GNB2/RAB10/DAB2/CTNNA1/SRC/CLTC/PPP1CB/CD81/PTPRC/ITGB2/ARF1/MMP14/MYH9/CTNNB1/MAP4K4/RHOA/CAPN2/AHNAK/LIMS1/ADAM17/ARPC2/PLEC/PTPN12/CALR/RALA/ICAM1/MSN/HMGA1/HSP90B1/CAP1/ACTN1/ARPC5/RDX/LCP1/YWHAB/JAK1/NUMB/ITGB1/ATP6V0C/ITGB8/ACTB/ACTR2/PFN1/MARCKS/ALCAM/B2M/ACTR3/HSPA5/IQGAP1/SDCBP/CYBA/TPM4/ANXA5/FLNA/PLAUR/CD44
BP	GO:0071345	cellular response to cytokine stimulus	520	-0.5847760687652035	-1.7424635656871152	5.83314807319124e-10	2.7252467797949475e-7	1.6566140527863123e-7	1282	tags=32%, list=12%, signal=29%	ATP5F1B/CXCR4/CDC42EP2/IL1B/RELA/PTPRJ/GSDME/XBP1/RAB20/RAD23B/CBL/PML/TICAM2/TNFRSF14/STAT3/RIF1/CDK9/IL15RA/JAK2/PIAS4/TNFRSF1A/PAFAH1B1/HK2/OAS1/LILRB4/STX4/SMAD7/UPF1/GSK3A/PPARG/EXT1/GPR35/CASP4/WNK1/NDUFA13/CSF2RB/SP100/STAT6/PTPN1/NLRC5/SMAD4/OASL/CIB1/NOTCH1/SYNCRIP/ZC3H12A/IL4R/MSC/SPHK1/LSP1/PTPN6/MAP3K5/IFNGR2/VIM/MAPK1/SMARCA5/TCIRG1/CD58/RC3H1/PDIA3/EIF5A/PPP2CB/CXCL1/IFI16/TBK1/BCLAF1/ZFP36L2/PARP9/RIPK2/CTBP2/IL6R/VRK2/PDCD10/KDM5B/SNX10/IRF7/BIRC3/SOS1/NFAT5/P4HB/KIF5B/NFKBIZ/OAS3/FOXO3/YY1/CD47/CYLD/TRIM56/SIRPA/OXSR1/LYN/KMO/CXCL5/XIAP/CXCL3/IRAK2/SOCS3/STXBP2/SPPL2A/OAS2/SRC/GBP4/TNF/STAT2/CASP1/ERBIN/PTPRC/MX1/ADAR/ACOD1/TRAF1/TRIM25/RBM47/CCR1/RHOA/CAPN2/LIMS1/ADAM17/IL2RG/HNRNPU/GBP5/IL6/DUSP1/NRP2/NFE2L2/CYP1B1/NFKBIA/TLR2/PLP2/TNFRSF1B/GBP1/CCRL2/JAK1/LAPTM5/IRF1/IRAK3/ACTR2/HIF1A/CCL20/IL1A/STAT1/CXCL2/IL1R1/ACTR3/CCL3L1/JARID2/HSPA5/ACSL1/FCER1G/CYBA/CEBPB/MT2A/CCL3/PARP14/TNFAIP3/IL1RN/CXCL8/ISG15/NFKB1/THBS1/GBP2/CD44/CCL4/CCL2
CC	GO:0030055	cell-substrate junction	281	-0.6577531421889741	-1.8859529485222424	7.861483746276773e-10	2.810025809641886e-7	1.7081492507240917e-7	866	tags=33%, list=8%, signal=31%	GNA13/IRF2/MAPRE1/YWHAZ/CFL1/ADAM9/DNM2/TLN1/CYFIP1/LASP1/LPXN/IGF2R/TES/FLT1/VIM/MAPK1/FLII/YWHAE/ENG/PDIA3/RAB21/ITGA5/ADAM10/SDC4/HNRNPK/LAP3/PPFIA1/HSPA9/VASP/FLOT1/P4HB/RAC1/HYOU1/PPP1R12A/GNB2/RAB10/DAB2/CTNNA1/SRC/CLTC/PPP1CB/CD81/ERBIN/PTPRC/ITGB2/ARF1/MMP14/MYH9/CTNNB1/MAP4K4/RHOA/FERMT3/CAPN2/AHNAK/LIMS1/ADAM17/ARPC2/PLEC/PTPN12/CALR/RALA/ICAM1/MSN/HMGA1/HSP90B1/CAP1/ACTN1/ARPC5/RDX/LCP1/YWHAB/JAK1/NUMB/ITGB1/ATP6V0C/ITGB8/ACTB/ACTR2/PFN1/MARCKS/ALCAM/B2M/ACTR3/HSPA5/IQGAP1/SDCBP/CYBA/TPM4/ANXA5/FLNA/PLAUR/CD44
BP	GO:0055080	monoatomic cation homeostasis	318	-0.6368759377972021	-1.845284786220925	9.197763545681918e-10	2.810025809641886e-7	1.7081492507240917e-7	892	tags=22%, list=8%, signal=21%	TMEM165/KCNJ2/SMAD4/PPT1/ATP2C1/CALM3/ATP6AP1/PIK3CB/PTPN6/SELENOK/IBTK/CYB561A3/ATP6V0D1/MAPK1/TCIRG1/CLIC4/DDIT3/YWHAE/ATOX1/ERO1A/MLLT6/TRPM7/PRNP/ATP6V1G1/NCOA4/RNASEK/SNX10/NPTN/ATP1A1/P2RX7/SLC4A7/CALM1/LYN/ATP6V1A/XIAP/ATP2A2/PTPRC/ARF1/ATF4/SLC11A2/HERPUD1/CCR1/CALR/ADORA2A/RAB7A/ATP6V1B2/ATP6V0E1/HSP90B1/TMBIM6/DMXL2/ATP6V1F/ATP6V0C/ATP1B3/SLC11A1/HIF1A/IL1A/ATP6V0B/SLC39A8/GRN/B2M/SLC25A37/GSTO1/CYBA/MT2A/CCL3/FTH1/ATP13A3/ATP2B1/FLNA/SOD2
BP	GO:0048646	anatomical structure formation involved in morphogenesis	554	-0.5698282725160354	-1.7041467326711828	9.623376060417417e-10	2.810025809641886e-7	1.7081492507240917e-7	1282	tags=27%, list=12%, signal=25%	ATP5F1B/CXCR4/IL1B/DVL1/NFKB2/PANK2/SHC1/XBP1/LATS2/SKIL/PML/ITGA2/BMPR2/CD9/STAT3/CNOT3/STK3/ABI1/LFNG/PAFAH1B1/PIK3CA/EGR3/HK2/PIKFYVE/PSEN1/HGS/HDAC2/PPARG/EXT1/ACVR1/NF1/HEY1/MAP2K1/DUSP5/SP100/ROCK2/WASF2/ERAP1/SMAD4/TMF1/ADA/AGFG1/CIB1/NOTCH1/GNA13/FBXW7/YWHAZ/ZC3H12A/IL4R/CASP3/ADAM9/SPHK1/JUNB/HECTD1/PIK3CB/HIPK2/PTPN6/MECP2/KDM6B/PLXNB2/FLT1/MAPK1/TCIRG1/CLIC4/FLII/PLEKHO1/SUPT6H/ENG/AGO2/RC3H1/PGK1/TNFSF14/ATF2/ITGA5/C3AR1/BRD2/VEGFA/EP300/TMED2/SDC4/HPSE/NUS1/EMILIN2/DUSP2/SP3/PDCD10/VASP/FLOT1/MTPN/NIBAN2/F3/C5AR1/RTN4/WDR1/ADAM8/TNF/ETS2/PRKAR1A/TNFAIP2/CD81/BTG1/ITGB2/MMP14/MYH9/CTNNB1/RHOA/CAPN2/ADAM17/PLEC/GLUL/TGFB1/GRB2/RALA/IL6/DUSP1/NRP2/NFE2L2/ACTN1/CYP1B1/PIM1/TMOD3/TLR2/CFLAR/ROCK1/ITGAX/JAK1/MMP19/ITGB1/CD53/PKM/ITGB8/EHD1/HIF1A/IL1A/PFN1/INHBA/GRN/STAT1/PTGS2/NINJ1/ANXA2/TNFAIP3/RNF213/ANPEP/CXCL8/THBS1/FLNA/TYMP/CCL2
CC	GO:0098798	mitochondrial protein-containing complex	267	0.6038659633406043	1.956518005580185	1.9506147851512134e-9	4.6778727993748157e-7	2.8435699379761295e-7	1485	tags=40%, list=14%, signal=35%	UQCRB/SLC25A6/ATP5MC2/COX7C/TOMM7/SLC25A5/UQCRH/TOMM20/ATP5PO/COX6B1/COX7A2L/CHCHD10/NDUFS5/ATP5MG/ATP5F1D/COX4I1/NDUFB1/COX5B/ATP5ME/HADHA/ATP5PF/ATP5PB/NDUFB5/NDUFB4/ATP5F1A/MRPS21/ATP5F1C/MRPL33/DNAJC15/SMDT1/MRPS24/TOMM22/MPC2/COX6C/UQCRQ/PHB2/NDUFA4/UQCRC2/COX7A2/NDUFB8/NDUFC2/TOMM5/TIMM10/PMPCB/MICOS13/DAP3/MRPS15/NDUFS4/IDH3B/UQCR10/NDUFC1/MRPL57/NDUFS7/NDUFB7/MICOS10/TIMM13/IDH3G/MRPS33/TOMM6/NDUFB9/MRPL11/ATP5MF/NDUFA7/COX5A/GRPEL1/ATP5MC1/ATP5PD/NDUFB6/MRPL21/MTX1/TIMM9/NDUFA6/NDUFA10/NDUFV1/MRPL3/MRPL34/SDHC/HSD17B10/ATP5MC3/MRPL40/MRPL16/MRPL45/COX7B/NDUFA11/MRPL18/MRPL55/MPC1/UQCRFS1/NDUFS3/SDHB/MRPS35/BAX/MRPS7/MRPL9/MRPL52/MRPS18B/MRPS11/MRPS5/SUCLG1/NDUFS8/MCUB/TRMT10C/MRPS36/MRPL48/MRPL22/NDUFA9
BP	GO:0030001	metal ion transport	367	-0.6132876697292465	-1.7911954369856364	2.1619130856529425e-9	4.6778727993748157e-7	2.8435699379761295e-7	1012	tags=19%, list=9%, signal=18%	SPINK1/GPR35/CAB39/WNK1/TRPC4AP/TMEM165/COX17/KCNJ2/VMP1/ATP2C1/AHCYL1/DNM2/CALM3/PTPN6/SLC41A2/SELENOK/IBTK/DDIT3/YWHAE/ATOX1/SLC5A3/ERO1A/MLLT6/FYN/TRPM7/PRNP/KIF5B/ATP1A1/P2RX7/SLC4A7/CALM1/OXSR1/LYN/GNB2/ATP2A2/SGK1/CLTC/SEC61A1/MAGT1/PTPRC/CTNNB1/ATF4/SLC11A2/CCR1/RHOA/AHNAK/SLC3A2/ADORA2A/SLC6A6/SLC38A2/TMBIM6/P2RX4/PDE4B/ITGB1/ATP1B3/SLC11A1/SLC39A8/LGALS3/PTGS2/CD63/B2M/SLC25A37/GSTO1/CYBA/CCL3/ANXA2/FTH1/ATP2B1/FLNA/CCL4/CCL2
